transaction_id,posting_date,fiscal_year,fiscal_quarter,cost_center,department,expense_category,vendor_name,actual_amount_usd,payment_status
TXN-202500201,2025-12-01,2025,Q4,CC-300,Sales,CRM & Enablement Software,Gong.io,8916.05,Settled
TXN-202500202,2026-04-17,2026,Q2,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,57450.74,Settled
TXN-202500203,2026-05-21,2026,Q2,CC-100,Engineering,Salaries & Contractors,Turing Tech Talent,135214.13,Settled
TXN-202500204,2025-12-11,2025,Q4,CC-600,Product & Design,Design Contractors,Superside Agency,3743.97,Settled
TXN-202500205,2025-04-24,2025,Q2,CC-300,Sales,CRM & Enablement Software,HubSpot Enterprise,26072.65,Cleared
TXN-202500206,2026-04-06,2026,Q2,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,9351.82,Settled
TXN-202500207,2025-08-19,2025,Q3,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,9935.95,Cleared
TXN-202500208,2026-04-30,2026,Q2,CC-300,Sales,Travel & Entertainment,Hilton Hotels,2066.53,Settled
TXN-202500209,2025-02-09,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,140344.99,Settled
TXN-202500210,2025-02-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,24934.74,Settled
TXN-202500211,2025-05-23,2025,Q2,CC-300,Sales,Travel & Entertainment,Uber for Business,5885.28,Cleared
TXN-202500212,2025-06-12,2025,Q2,CC-400,Operations,Logistics & Shipping,DHL Express,11360.56,Settled
TXN-202500213,2025-04-08,2025,Q2,CC-300,Sales,Commissions & Incentives,CaptivateIQ,8659.42,Cleared
TXN-202500214,2025-04-01,2025,Q2,CC-100,Engineering,Hardware & Peripherals,Dell Direct,17148.72,Settled
TXN-202500215,2025-06-30,2025,Q2,CC-400,Operations,Professional Services,Accenture Strategy,68889.91,Cleared
TXN-202500216,2025-12-10,2025,Q4,CC-100,Engineering,Salaries & Contractors,Internal Payroll Clearing,102909.35,Settled
TXN-202500217,2025-03-06,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Figma Inc,9607.26,Cleared
TXN-202500218,2025-08-31,2025,Q3,CC-400,Operations,SaaS Licenses & ERP,NetSuite ERP,2976.98,Settled
TXN-202500219,2025-12-25,2025,Q4,CC-300,Sales,Client Hospitality,Sweetgreen Enterprise Catering,4029.71,Settled
TXN-202500220,2026-07-12,2026,Q3,CC-500,Finance & Legal,Payroll Processing,Rippling,2971.5,Settled
TXN-202500221,2025-10-10,2025,Q4,CC-300,Sales,Commissions & Incentives,CaptivateIQ,17141.04,Cleared
TXN-202500222,2025-05-05,2025,Q2,CC-300,Sales,Client Hospitality,OpenTable Concierge,492.9,Settled
TXN-202500223,2026-07-08,2026,Q3,CC-100,Engineering,Salaries & Contractors,Internal Payroll Clearing,133048.41,Settled
TXN-202500224,2026-05-29,2026,Q2,CC-200,Marketing,Content & SEO Agencies,Omniscient Media,6509.07,Cleared
TXN-202500225,2025-10-02,2025,Q4,CC-100,Engineering,DevOps Tooling,Docker Inc,10752.44,Cleared
TXN-202500226,2025-09-01,2025,Q3,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,22885.26,Cleared
TXN-202500227,2026-05-10,2026,Q2,CC-700,Customer Success,Retention Swag & Gifting,Printfection,855.99,Settled
TXN-202500228,2026-02-02,2026,Q1,CC-200,Marketing,Events & Sponsorships,Gartner Symposium,42462.87,Cleared
TXN-202500229,2025-11-09,2025,Q4,CC-600,Product & Design,Design Contractors,Superside Agency,13621.1,Settled
TXN-202500230,2026-05-10,2026,Q2,CC-300,Sales,Travel & Entertainment,Uber for Business,7304.36,Cleared
TXN-202500231,2025-02-13,2025,Q1,CC-400,Operations,Logistics & Shipping,FedEx Corporate,3882.14,Cleared
TXN-202500232,2025-08-21,2025,Q3,CC-300,Sales,CRM & Enablement Software,Salesforce Inc,3590.62,Settled
